date,cash_30d,positions_value_30d,total_equity_30d,open_positions_30d,cash_60d,positions_value_60d,total_equity_60d,open_positions_60d,cash_90d,positions_value_90d,total_equity_90d,open_positions_90d,spy_equity,return_30d,return_60d,return_90d,spy_return
2013-01-02 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10000.0,,,,
2013-01-03 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,9977.406419514535,,,,
2013-01-04 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10021.22398766092,,,,
2013-01-07 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,9993.83839932939,,,,
2013-01-08 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,9965.083218173317,,,,
2013-01-09 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,9990.414939614642,,,,
2013-01-10 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10069.834608346597,,,,
2013-01-11 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10069.15033428094,,,,
2013-01-14 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10062.303414851442,,,,
2013-01-15 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10069.15033428094,,,,
2013-01-16 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10067.780741456394,,,,
2013-01-17 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10132.822297263698,,,,
2013-01-18 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10155.415877749163,,,,
2013-01-22 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10210.18809910545,,,,
2013-01-23 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10226.619034227075,,,,
2013-01-24 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10229.358219876167,,,,
2013-01-25 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10286.868582188315,,,,
2013-01-28 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10274.545380847096,,,,
2013-01-29 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10314.939489278731,,,,
2013-01-30 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10274.545380847096,,,,
2013-01-31 00:00:00,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10249.21261471254,,,,
2013-02-01 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10354.64932364471,,,,
2013-02-02 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10354.64932364471,,,,
2013-02-03 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10354.64932364471,,,,
2013-02-04 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10238.257961502637,,,,
2013-02-05 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10341.640803544602,,,,
2013-02-06 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10349.171997039757,,,,
2013-02-07 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10335.479202873992,,,,
2013-02-08 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10392.98956518614,,,,
2013-02-09 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10392.98956518614,,,,
2013-02-10 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10392.98956518614,,,,
2013-02-11 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10390.935698295938,,,,
2013-02-12 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10408.05195217645,,,,
2013-02-13 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10416.951693802921,,,,
2013-02-14 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10426.536754188279,,,,
2013-02-15 00:00:00,0.0,11956.84778299237,11956.84778299237,27.0,0.0,10000.0,10000.0,41.0,0.0,10000.0,10000.0,41.0,10414.21355284706,,,,
