date,cash_30d,positions_value_30d,total_equity_30d,open_positions_30d,cash_60d,positions_value_60d,total_equity_60d,open_positions_60d,cash_90d,positions_value_90d,total_equity_90d,open_positions_90d,return_30d,return_60d,return_90d
2024-01-03 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-04 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-05 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-08 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-09 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-10 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-11 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-12 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-16 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-17 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-18 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-19 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-22 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-23 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-24 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-25 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-26 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-29 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-30 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-01-31 00:00:00,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-01 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-02 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-05 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-06 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-07 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-08 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-09 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-12 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-13 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-14 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-15 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-16 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-20 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-21 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-22 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-23 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-26 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-27 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-28 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-02-29 00:00:00,0.0,9882.335751597895,9882.335751597895,43.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-03-01 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10000.0,10000.0,46.0,0.0,10000.0,10000.0,46.0,,,
2024-03-04 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-05 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-06 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-07 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-08 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-11 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-12 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-13 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-14 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-15 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-18 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
2024-03-19 00:00:00,0.0,10163.025544282826,10163.025544282826,37.0,0.0,10031.191763084527,10031.191763084527,36.0,0.0,10000.0,10000.0,46.0,,,
